Sample_ID,SVM_Score
GSM484595,-0.422943242
GSM484596,-0.654031096
GSM484597,-0.194068524
GSM484598,-0.432048536
GSM484599,-0.120220514
GSM484600,0.00018941
GSM484601,-0.037900647
GSM484602,-0.111801654
GSM484603,0.104241577
GSM484604,-0.112637696
GSM484605,-0.170664088
GSM484606,-0.584465112
GSM484607,-0.139895671
GSM484608,-0.061495583
GSM484609,-0.115807878
GSM484610,-0.337990409
GSM484611,-0.871458318
GSM484612,-0.083639009
GSM484613,0.037835314
GSM484614,-0.181380946
GSM484615,-0.481912182
GSM484616,0.052327624
GSM484617,0.163256751
GSM484618,-0.425203377
GSM484619,-0.519839519
GSM484620,-0.426746812
GSM484621,-0.348084828
GSM484622,0.121982586
GSM484623,0.033094264
GSM484624,-0.002833217
GSM484625,0.105812546
GSM484626,0.203974522
GSM484627,0.119620362
GSM484628,-0.373083708
GSM484629,0.009937091
GSM484630,-0.254768938
GSM484631,-0.640742825
GSM484632,0.208348654
GSM484633,0.201940399
GSM484634,-0.025932182
GSM484635,-0.00314296
GSM484636,-0.110753316
GSM484637,-0.033994821
GSM484638,-0.413819138
GSM484639,0.064710376
GSM484640,-0.138071416
GSM484641,-0.110849106
GSM484642,-0.059890852
GSM484643,0.110954849
GSM484644,0.206001823
GSM484645,-0.246598742
GSM484646,-0.012637556
GSM484647,0.146035121
GSM484648,0.082760482
