Sample_ID,SVM_Score
GSM484500,0.9998821
GSM484501,0.9998203
GSM484502,1.2792128
GSM484503,1.0001463
GSM484504,-1.0738916
GSM484505,-1.0002723
GSM484506,-0.9999808
GSM484507,-0.9997242
GSM484508,-0.9999304
GSM484509,-1.2691825
GSM484510,-1.0002465
GSM484511,-1.1527401
GSM484512,-1.0000754
GSM484513,-0.9998911
GSM484514,-1.0002253
GSM484515,1.0002959
GSM484516,1.519547
GSM484517,0.999958
GSM484518,1.000271
GSM484519,0.9999687
GSM484520,-1.5476591
GSM484521,-1.0001355
GSM484522,-1.0001296
GSM484523,-1.0164361
GSM484524,1.0000493
GSM484525,1.4135613
GSM484526,0.9998425
GSM484527,0.9996792
GSM484528,-0.9999217
GSM484529,-1.0001584
GSM484530,-1.1987482
GSM484531,-1.0003218
GSM484532,-0.9998104
GSM484533,1.0001029
GSM484534,1.1924375
GSM484535,0.9999017
GSM484536,1.4031968
GSM484537,-0.9998721
GSM484538,-1.0002258
GSM484539,-1.0001386
GSM484540,-1.1137456
GSM484541,-0.9998951
GSM484542,-0.9997005
GSM484543,0.9997881
GSM484544,1.0001761
GSM484545,1.0002135
GSM484546,-0.9998948
GSM484547,-1.0918362
GSM484548,-1.3599159
GSM484549,-1.0001096
GSM484550,-0.9994367
