Sample_ID,SVM_Score
GSM484595,1.0004655
GSM484596,1.2981312
GSM484597,1.0001294
GSM484598,2.388811
GSM484599,-0.9998706
GSM484600,-1.0635343
GSM484601,-1.0001209
GSM484602,-1.0003963
GSM484603,-1.0001065
GSM484604,-1.0000928
GSM484605,1.0000613
GSM484606,1.8058609
GSM484607,-0.9996838
GSM484608,-0.999828
GSM484609,-0.9999628
GSM484610,0.9996272
GSM484611,2.4177889
GSM484612,-1.0002525
GSM484613,-0.9997059
GSM484614,-1.000043
GSM484615,-0.9999297
GSM484616,-0.9997001
GSM484617,-1.1159097
GSM484618,1.0002416
GSM484619,0.9996565
GSM484620,0.9998563
GSM484621,1.0002654
GSM484622,-0.9995744
GSM484623,-0.9996938
GSM484624,-1.0001399
GSM484625,-1.2389805
GSM484626,-1.1806851
GSM484627,-0.9997074
GSM484628,0.9995127
GSM484629,0.9999697
GSM484630,1.0001664
GSM484631,1.879449
GSM484632,-1.0000968
GSM484633,-1.3014791
GSM484634,-1.0000433
GSM484635,-1.0002317
GSM484636,-1.0677346
GSM484637,-1.0000157
GSM484638,1.5659851
GSM484639,0.9996656
GSM484640,-1.0000832
GSM484641,1.0000922
GSM484642,0.9996841
GSM484643,-1.0776592
GSM484644,-1.4875443
GSM484645,0.9999241
GSM484646,-1.0002016
GSM484647,-1.0002604
GSM484648,-0.999577
