Sample_ID,SVM_Score
GSM484500,-1.07369073
GSM484501,-0.33627267
GSM484502,-0.34689576
GSM484503,-0.64816741
GSM484504,0.3660717
GSM484505,-0.12374188
GSM484506,-0.14778342
GSM484507,0.08833723
GSM484508,-0.04378115
GSM484509,0.1669273
GSM484510,-0.07744415
GSM484511,0.26075124
GSM484512,-0.01870398
GSM484513,-0.60036315
GSM484514,0.15330116
GSM484515,-0.67355015
GSM484516,-0.87321801
GSM484517,-0.41099727
GSM484518,0.21531415
GSM484519,-0.6350378
GSM484520,0.12216866
GSM484521,0.26567932
GSM484522,0.15886002
GSM484523,-0.16830563
GSM484524,-0.03628153
GSM484525,-0.48636338
GSM484526,-0.47319818
GSM484527,-0.26244327
GSM484528,-0.08355683
GSM484529,0.10383301
GSM484530,0.66391143
GSM484531,-0.41320849
GSM484532,0.44429322
GSM484533,-1.17185543
GSM484534,-0.6631276
GSM484535,-0.3741559
GSM484536,-1.08846864
GSM484537,0.10449969
GSM484538,0.30493338
GSM484539,0.14950287
GSM484540,0.24432977
GSM484541,0.36072368
GSM484542,0.10435217
GSM484543,-0.4737159
GSM484544,-0.51384092
GSM484545,-0.56888095
GSM484546,0.49404609
GSM484547,0.25010613
GSM484548,0.45579053
GSM484549,0.22392982
GSM484550,-0.60970043
